From Date,To Date,PM10,NO,NO2,NOx,SO2
01/01/2018 00:00:,02-01-2018 00:00,93.04,11.14,32.78,24.3,4.91
02-01-2018 00:00,03-01-2018 00:00,92.28,7.72,33,21.86,4.89
03-01-2018 00:00,04-01-2018 00:00,84.21,10.66,39.99,27.79,5.1
04-01-2018 00:00,05-01-2018 00:00,95.24,9.09,44.11,28.3,4.79
05-01-2018 00:00,06-01-2018 00:00,111.5,10.84,52,33.46,5.06
06-01-2018 00:00,07-01-2018 00:00,107.03,8.65,44.1,27.96,4.87
07-01-2018 00:00,08-01-2018 00:00,101.85,9.49,45.08,29.07,4.99
08-01-2018 00:00,09-01-2018 00:00,93.43,7.37,42.5,26.23,5.01
09-01-2018 00:00,10-01-2018 00:00,93.42,7.29,39.52,24.72,5.32
10-01-2018 00:00,11-01-2018 00:00,81.92,7.9,33.42,22.19,5.1
11-01-2018 00:00,12-01-2018 00:00,80.88,13.98,65.61,42.7,5.23
12-01-2018 00:00,13-01-2018 00:00,105.6,16.23,51.29,37.13,5.07
13-01-2018 00:00,14-01-2018 00:00,151.16,16.34,53.85,38.46,5.11
14-01-2018 00:00,15-01-2018 00:00,166.69,11.93,44.6,30.66,4.98
15-01-2018 00:00,16-01-2018 00:00,146.23,8.52,37.6,24.7,5
16-01-2018 00:00,17-01-2018 00:00,135.79,9.61,39.53,26.45,5.09
17-01-2018 00:00,18-01-2018 00:00,154.32,8.95,38.51,25.47,5.2
18-01-2018 00:00,19-01-2018 00:00,150.07,11.28,45.85,30.52,9.15
19-01-2018 00:00,20-01-2018 00:00,134.99,9.1,42.66,27.87,8.79
20-01-2018 00:00,21-01-2018 00:00,164.12,10.88,47.23,31.16,9.53
21-01-2018 00:00,22-01-2018 00:00,151.63,8.86,40.95,26.59,9.07
22-01-2018 00:00,23-01-2018 00:00,173.81,8.06,39.81,25.43,9.11
23-01-2018 00:00,24-01-2018 00:00,191.34,6.55,32.98,21.01,9.08
24-01-2018 00:00,25-01-2018 00:00,175.1,8.84,36.91,24.6,8.81
25-01-2018 00:00,26-01-2018 00:00,178.78,8.73,37.37,24.75,6.73
26-01-2018 00:00,27-01-2018 00:00,164.26,8.09,41.38,26.22,5.11
27-01-2018 00:00,28-01-2018 00:00,194.18,7.45,36.77,23.5,5.27
28-01-2018 00:00,29-01-2018 00:00,177.71,10.13,48.84,31.48,5.3
