From Date,To Date,PM10,NO2,SO2,CO,Ozone
01-01-2019 00:00,02-01-2019 00:00,124.06,43.34,6.5,1.4,None
02-01-2019 00:00,03-01-2019 00:00,111.61,41.86,5.84,2.07,None
03-01-2019 00:00,04-01-2019 00:00,108.99,42.94,6.39,2.06,None
04-01-2019 00:00,05-01-2019 00:00,112.11,44.17,6.3,1.78,None
05-01-2019 00:00,06-01-2019 00:00,112.68,45.68,6.18,1.43,None
06-01-2019 00:00,07-01-2019 00:00,118.48,42.78,5.88,1.36,None
07-01-2019 00:00,08-01-2019 00:00,129.97,53.88,7.06,1.45,None
08-01-2019 00:00,09-01-2019 00:00,109.05,41.76,5.86,1.43,None
09-01-2019 00:00,10-01-2019 00:00,135.65,48.61,7.35,1.44,None
10-01-2019 00:00,11-01-2019 00:00,134.66,56.98,7.27,1.55,None
11-01-2019 00:00,12-01-2019 00:00,151.76,69.87,6.8,1.54,None
12-01-2019 00:00,13-01-2019 00:00,141.63,50.86,6.34,1.38,None
13-01-2019 00:00,14-01-2019 00:00,122.74,46.69,6.91,1.39,None
14-01-2019 00:00,15-01-2019 00:00,129.3,46.26,6.72,1.42,None
15-01-2019 00:00,16-01-2019 00:00,107.49,52.3,6.33,1.4,None
16-01-2019 00:00,17-01-2019 00:00,153.78,63.62,8.18,1.55,None
17-01-2019 00:00,18-01-2019 00:00,136.57,48.54,6.77,1.45,None
18-01-2019 00:00,19-01-2019 00:00,129.46,48.98,6.18,1.43,None
19-01-2019 00:00,20-01-2019 00:00,110.75,22.72,5.22,1.28,None
20-01-2019 00:00,21-01-2019 00:00,None,None,None,None,None
21-01-2019 00:00,22-01-2019 00:00,156.4,60.27,7.84,1.46,None
22-01-2019 00:00,23-01-2019 00:00,121.19,31.43,4.9,1.32,None
23-01-2019 00:00,24-01-2019 00:00,189.38,70.23,6.63,1.58,None
24-01-2019 00:00,25-01-2019 00:00,138.82,42.17,7.84,1.49,None
25-01-2019 00:00,26-01-2019 00:00,126.23,47.78,6.97,1.51,None
26-01-2019 00:00,27-01-2019 00:00,127.24,38.9,6.9,1.36,None
27-01-2019 00:00,28-01-2019 00:00,110.39,36.25,7.46,1.34,None
28-01-2019 00:00,29-01-2019 00:00,106.9,28.06,7.17,0.67,None
29-01-2019 00:00,30-01-2019 00:00,53.16,28.34,5.97,1.29,None
30-01-2019 00:00,31-01-2019 00:00,None,None,None,None,None
31-01-2019 00:00,01-02-2019 00:00,184.99,46.88,6.67,1.43,None
01-02-2019 00:00,02-02-2019 00:00,128.58,15.4,4.46,1.24,None
02-02-2019 00:00,03-02-2019 00:00,219.95,56.93,6.85,1.51,None
03-02-2019 00:00,04-02-2019 00:00,148.55,30.21,5.46,1.3,None
04-02-2019 00:00,05-02-2019 00:00,None,None,None,None,None
05-02-2019 00:00,06-02-2019 00:00,None,None,None,None,None
06-02-2019 00:00,07-02-2019 00:00,236.52,56.5,6.54,1.5,None
07-02-2019 00:00,08-02-2019 00:00,169.51,31.73,5.27,1.34,None
08-02-2019 00:00,09-02-2019 00:00,None,None,None,None,None
09-02-2019 00:00,10-02-2019 00:00,200.17,44.35,5.39,1.43,None
10-02-2019 00:00,11-02-2019 00:00,None,None,None,None,None
11-02-2019 00:00,12-02-2019 00:00,None,None,None,None,None
12-02-2019 00:00,13-02-2019 00:00,None,None,None,None,None
13-02-2019 00:00,14-02-2019 00:00,201.76,42.49,6.01,2.24,None
14-02-2019 00:00,15-02-2019 00:00,179.38,57.28,8.97,1.46,None
15-02-2019 00:00,16-02-2019 00:00,165.89,46.09,6.05,1.39,None
16-02-2019 00:00,17-02-2019 00:00,179.02,46.88,5.04,1.42,None
17-02-2019 00:00,18-02-2019 00:00,165.37,28.35,5.97,1.31,None
18-02-2019 00:00,19-02-2019 00:00,166,47.16,7.02,1.44,None
19-02-2019 00:00,20-02-2019 00:00,167.66,37.54,5.98,1.31,None
20-02-2019 00:00,21-02-2019 00:00,168.56,51.05,6.05,1.39,None
21-02-2019 00:00,22-02-2019 00:00,167.61,45.21,6.04,1.39,None
22-02-2019 00:00,23-02-2019 00:00,182.82,55.67,6.24,1.4,None
23-02-2019 00:00,24-02-2019 00:00,187.61,70.17,6.98,1.44,None
24-02-2019 00:00,25-02-2019 00:00,164.32,63.62,6.52,1.42,None
25-02-2019 00:00,26-02-2019 00:00,157.23,62.59,9.42,1.46,None
26-02-2019 00:00,27-02-2019 00:00,171.03,35.96,7.14,1.31,None
27-02-2019 00:00,28-02-2019 00:00,None,55.81,6.22,1.79,None
28-02-2019 00:00,01-03-2019 00:00,199.98,34.35,5.82,1.36,None
01-03-2019 00:00,02-03-2019 00:00,199.41,64.57,5.93,1.41,None
02-03-2019 00:00,03-03-2019 00:00,147.5,48.4,6.18,1.37,None
03-03-2019 00:00,04-03-2019 00:00,149.37,49.71,5.82,1.36,None
04-03-2019 00:00,05-03-2019 00:00,151.2,39.89,6.32,1.33,None
05-03-2019 00:00,06-03-2019 00:00,152.97,34.93,6.6,1.32,None
06-03-2019 00:00,07-03-2019 00:00,134.15,24.96,5.29,1.22,None
07-03-2019 00:00,08-03-2019 00:00,228.35,51.38,5.83,1.51,None
